0: train_loss=0.5629545719829161, val_loss=0.6876630094789323, train_acc=0.8309130072593689, val_acc=0.7364435195922852
1: train_loss=0.4237527934758277, val_loss=0.811133032753354, train_acc=0.8839162588119507, val_acc=0.7625986933708191
2: train_loss=0.36929288267548255, val_loss=0.5456547818723179, train_acc=0.8983234763145447, val_acc=0.8156893849372864
3: train_loss=0.3277981090563689, val_loss=0.6906125580980664, train_acc=0.9062316417694092, val_acc=0.7536917924880981
4: train_loss=0.3022772523260333, val_loss=0.8197520432018098, train_acc=0.912997841835022, val_acc=0.7053322792053223
5: train_loss=0.2833358323519962, val_loss=0.5191819596858251, train_acc=0.9154459238052368, val_acc=0.8575780391693115
6: train_loss=0.2667910923755836, val_loss=0.5057927941282591, train_acc=0.9189603328704834, val_acc=0.8232437372207642
7: train_loss=0.24847280244242947, val_loss=1.4680563012758892, train_acc=0.9228566884994507, val_acc=0.509236752986908
8: train_loss=0.24054381357288937, val_loss=0.4279505541282041, train_acc=0.9242483377456665, val_acc=0.8598731756210327
9: train_loss=0.22653902758267933, val_loss=0.3110881146220934, train_acc=0.9282020926475525, val_acc=0.8959807753562927
10: train_loss=0.221231375425017, val_loss=0.2595606934988782, train_acc=0.9285518527030945, val_acc=0.9166423678398132
11: train_loss=0.2046170877616813, val_loss=0.3594936084534441, train_acc=0.9329822659492493, val_acc=0.8810970783233643
12: train_loss=0.2020341149346731, val_loss=0.519848665311223, train_acc=0.9337443113327026, val_acc=0.8342626690864563
13: train_loss=0.2017824905227064, val_loss=0.47191574921210605, train_acc=0.9330183267593384, val_acc=0.8420411348342896
14: train_loss=0.18326248104561477, val_loss=0.2933522557751054, train_acc=0.9393552541732788, val_acc=0.9059001207351685
15: train_loss=0.1825464694407091, val_loss=0.285768457289253, train_acc=0.9383712410926819, val_acc=0.9098051190376282
16: train_loss=0.17662918946385925, val_loss=0.3847071927573, train_acc=0.9388806819915771, val_acc=0.878684937953949
17: train_loss=0.17487928523779275, val_loss=0.3328166011543501, train_acc=0.9396159052848816, val_acc=0.9024409055709839
18: train_loss=0.16243130555897725, val_loss=0.28267770029959227, train_acc=0.9439535737037659, val_acc=0.9090096950531006
19: train_loss=0.15642534709238248, val_loss=0.26663777675657047, train_acc=0.9454169869422913, val_acc=0.9181267023086548
20: train_loss=0.14921162650552713, val_loss=0.24968193214209305, train_acc=0.9492267370223999, val_acc=0.9255917072296143
21: train_loss=0.1460799097609051, val_loss=0.43008147543739705, train_acc=0.9485412836074829, val_acc=0.8708889484405518
